workerid,problem,treatment,domain,questions,options,votes,predictions,elicitation_format
1,1,2,3,5,"[9, 15, 21, 27]",[15],[15],top-top
1,2,2,1,2,"[3, 9, 15, 21]",[3],[3],top-top
1,3,2,1,19,"[22, 28, 34, 40]",[28],[28],top-top
1,4,2,1,11,"[21, 27, 33, 39]",[21],[21],top-top
1,5,2,2,7,"[13, 19, 25, 31]",[31],[25],top-top
1,6,3,3,20,"[32, 38, 44, 50]",[38],"[38, 44, 50, 32]",top-rank
1,7,3,1,19,"[22, 28, 34, 40]",[28],"[28, 22, 40, 34]",top-rank
1,8,3,1,6,"[11, 17, 23, 29]",[11],"[11, 29, 17, 23]",top-rank
1,9,3,1,8,"[15, 21, 27, 33]",[21],"[21, 15, 33, 27]",top-rank
1,10,3,2,16,"[31, 37, 43, 49]",[37],"[37, 49, 31, 43]",top-rank
2,1,4,2,7,"[13, 19, 25, 31]","[25, 13, 31, 19]",[],rank-none
2,2,4,2,13,"[25, 31, 37, 43]","[31, 25, 43, 37]",[],rank-none
2,3,4,3,11,"[21, 27, 33, 39]","[39, 21, 27, 33]",[],rank-none
2,4,4,1,13,"[25, 31, 37, 43]","[43, 31, 37, 25]",[],rank-none
2,5,4,1,3,"[5, 11, 17, 23]","[17, 5, 23, 11]",[],rank-none
2,6,3,2,12,"[23, 29, 35, 41]",[23],"[35, 23, 29, 41]",top-rank
2,7,3,2,1,"[1, 7, 13, 19]",[13],"[7, 1, 13, 19]",top-rank
2,8,3,3,6,"[11, 17, 23, 29]",[23],"[11, 23, 29, 17]",top-rank
2,9,3,1,1,"[1, 7, 13, 19]",[13],"[19, 7, 1, 13]",top-rank
2,10,3,1,19,"[22, 28, 34, 40]",[28],"[34, 40, 22, 28]",top-rank
3,1,2,2,19,"[22, 28, 34, 40]",[34],[28],top-top
3,2,2,1,10,"[19, 25, 31, 37]",[19],[19],top-top
3,3,2,1,2,"[3, 9, 15, 21]",[3],[3],top-top
3,4,2,2,10,"[19, 25, 31, 37]",[25],[25],top-top
3,5,2,2,14,"[27, 33, 39, 45]",[27],[27],top-top
3,6,5,2,14,"[27, 33, 39, 45]","[27, 33, 39, 45]",[27],rank-top
3,7,5,1,10,"[19, 25, 31, 37]","[19, 25, 31, 37]",[25],rank-top
3,8,5,1,18,"[12, 18, 24, 30]","[18, 30, 24, 12]",[18],rank-top
3,9,5,2,1,"[1, 7, 13, 19]","[1, 7, 19, 13]",[1],rank-top
3,10,5,2,18,"[12, 18, 24, 30]","[24, 30, 18, 12]",[24],rank-top
4,1,1,2,20,"[32, 38, 44, 50]",[38],[],top-none
4,2,1,1,19,"[22, 28, 34, 40]",[22],[],top-none
4,3,1,1,9,"[17, 23, 29, 35]",[17],[],top-none
4,4,1,2,13,"[25, 31, 37, 43]",[43],[],top-none
4,5,1,1,5,"[9, 15, 21, 27]",[21],[],top-none
4,6,2,2,12,"[23, 29, 35, 41]",[29],[35],top-top
4,7,2,1,3,"[5, 11, 17, 23]",[17],[5],top-top
4,8,2,1,12,"[23, 29, 35, 41]",[29],[41],top-top
4,9,2,2,16,"[31, 37, 43, 49]",[49],[31],top-top
4,10,2,1,11,"[21, 27, 33, 39]",[33],[21],top-top
5,1,5,3,17,"[2, 8, 14, 20]","[20, 14, 2, 8]",[20],rank-top
5,2,5,2,7,"[13, 19, 25, 31]","[13, 25, 31, 19]",[25],rank-top
5,3,5,2,18,"[12, 18, 24, 30]","[30, 12, 24, 18]",[30],rank-top
5,4,5,3,3,"[5, 11, 17, 23]","[23, 17, 11, 5]",[11],rank-top
5,5,5,1,10,"[19, 25, 31, 37]","[19, 31, 25, 37]",[19],rank-top
5,6,4,3,1,"[1, 7, 13, 19]","[1, 7, 19, 13]",[],rank-none
5,7,4,2,19,"[22, 28, 34, 40]","[22, 40, 34, 28]",[],rank-none
5,8,4,2,6,"[11, 17, 23, 29]","[11, 17, 29, 23]",[],rank-none
